date,region,blood_group,demand_units,is_festival,weekday,month,accident_risk_index,hospital_load
2022-01-03,Salem,B-,7,0,0,1,1.2,2
2022-01-03,Salem,AB+,4,0,0,1,1.18,0
2022-01-03,Salem,AB-,4,0,0,1,1.43,1
2022-01-04,Coimbatore,O+,1,0,1,1,1.44,0
2022-01-04,Coimbatore,O-,4,0,1,1,1.3,0
2022-01-04,Coimbatore,A+,1,0,1,1,1.43,1
2022-01-04,Coimbatore,A-,8,0,1,1,1.05,1
2022-01-04,Coimbatore,B+,4,0,1,1,1.0,0
2022-01-04,Coimbatore,B-,7,0,1,1,1.18,2
2022-01-04,Coimbatore,AB+,4,0,1,1,1.34,0
2022-01-04,Coimbatore,AB-,6,0,1,1,0.85,2
2022-01-04,Chennai,O+,3,0,1,1,1.44,0
2022-01-04,Chennai,O-,8,0,1,1,1.25,0
2022-01-04,Chennai,A+,5,0,1,1,1.21,0
2022-01-04,Chennai,A-,3,0,1,1,1.29,0
2022-01-04,Chennai,B+,4,0,1,1,0.84,2
2022-01-04,Chennai,B-,3,0,1,1,0.96,0
2022-01-04,Chennai,AB+,4,0,1,1,1.02,0
2022-01-04,Chennai,AB-,9,0,1,1,0.93,1
2022-01-04,Madurai,O+,11,0,1,1,1.09,0
2022-01-04,Madurai,O-,1,0,1,1,1.13,1
2022-01-04,Madurai,A+,5,0,1,1,0.88,0
2022-01-04,Madurai,A-,5,0,1,1,1.42,1
2022-01-04,Madurai,B+,7,0,1,1,1.38,1
2022-01-04,Madurai,B-,3,0,1,1,1.35,1
2022-01-04,Madurai,AB+,6,0,1,1,1.16,1
2022-01-04,Madurai,AB-,4,0,1,1,1.18,0
2022-01-04,Trichy,O+,6,0,1,1,1.4,1
2022-01-04,Trichy,O-,5,0,1,1,0.98,0
2022-01-04,Trichy,A+,3,0,1,1,1.43,0
2022-01-04,Trichy,A-,8,0,1,1,1.42,2
2022-01-04,Trichy,B+,3,0,1,1,1.03,0
2022-01-04,Trichy,B-,7,0,1,1,1.38,1
2022-01-04,Trichy,AB+,3,0,1,1,1.19,0
2022-01-04,Trichy,AB-,1,0,1,1,1.0,1
2022-01-04,Salem,O+,4,0,1,1,1.37,1
2022-01-04,Salem,O-,1,0,1,1,1.1,1
2022-01-04,Salem,A+,6,0,1,1,1.01,0
2022-01-04,Salem,A-,4,0,1,1,1.4,1
2022-01-04,Salem,B+,5,0,1,1,0.82,1
2022-01-04,Salem,B-,3,0,1,1,0.91,1
2022-01-04,Salem,AB+,6,0,1,1,0.86,1
2022-01-04,Salem,AB-,4,0,1,1,1.31,2
2022-01-05,Coimbatore,O+,7,0,2,1,0.95,0
2022-01-05,Coimbatore,O-,10,0,2,1,1.24,0
2022-01-05,Coimbatore,A+,4,0,2,1,1.22,1
2022-01-05,Coimbatore,A-,4,0,2,1,1.21,0
2022-01-05,Coimbatore,B+,6,0,2,1,1.48,1
2022-01-05,Coimbatore,B-,4,0,2,1,1.14,0
2022-01-05,Coimbatore,AB+,6,0,2,1,0.81,0
2022-01-05,Coimbatore,AB-,3,0,2,1,0.86,1
2022-01-05,Chennai,O+,5,0,2,1,1.27,2
2022-01-05,Chennai,O-,7,0,2,1,1.24,1
2022-01-05,Chennai,A+,7,0,2,1,0.91,1
2022-01-05,Chennai,A-,1,0,2,1,0.97,0
2022-01-05,Chennai,B+,7,0,2,1,0.91,1
2022-01-05,Chennai,B-,7,0,2,1,0.82,0
2022-01-05,Chennai,AB+,9,0,2,1,1.16,0
2022-01-05,Chennai,AB-,9,0,2,1,1.24,0
2022-01-05,Madurai,O+,5,0,2,1,1.48,2
2022-01-05,Madurai,O-,3,0,2,1,1.08,1
2022-01-05,Madurai,A+,6,0,2,1,1.26,2
2022-01-05,Madurai,A-,6,0,2,1,1.03,0
2022-01-05,Madurai,B+,6,0,2,1,0.92,0
2022-01-05,Madurai,B-,9,0,2,1,1.49,0
2022-01-05,Madurai,AB+,3,0,2,1,1.12,0
2022-01-05,Madurai,AB-,2,0,2,1,1.28,0
2022-01-05,Trichy,O+,2,0,2,1,1.03,0
2022-01-05,Trichy,O-,6,0,2,1,1.02,1
2022-01-05,Trichy,A+,5,0,2,1,1.41,1
2022-01-05,Trichy,A-,4,0,2,1,0.97,1
2022-01-05,Trichy,B+,5,0,2,1,0.95,1
2022-01-05,Trichy,B-,5,0,2,1,1.48,0
2022-01-05,Trichy,AB+,4,0,2,1,1.26,1
2022-01-05,Trichy,AB-,7,0,2,1,1.18,0
2022-01-05,Salem,O+,7,0,2,1,1.11,1
2022-01-05,Salem,O-,5,0,2,1,1.4,1
2022-01-05,Salem,A+,2,0,2,1,1.07,1
2022-01-05,Salem,A-,7,0,2,1,1.38,2
2022-01-05,Salem,B+,1,0,2,1,1.43,0
2022-01-05,Salem,B-,4,0,2,1,0.92,0
2022-01-05,Salem,AB+,6,0,2,1,0.99,1
2022-01-05,Salem,AB-,3,0,2,1,1.17,2
2022-01-06,Coimbatore,O+,5,0,3,1,1.37,0
2022-01-06,Coimbatore,O-,8,0,3,1,1.39,0
2022-01-06,Coimbatore,A+,6,0,3,1,1.24,0
2022-01-06,Coimbatore,A-,4,0,3,1,1.17,1
2022-01-06,Coimbatore,B+,3,0,3,1,0.96,1
2022-01-06,Coimbatore,B-,2,0,3,1,0.99,2
2022-01-06,Coimbatore,AB+,7,0,3,1,1.31,1
2022-01-06,Coimbatore,AB-,7,0,3,1,1.23,0
2022-01-06,Chennai,O+,3,0,3,1,1.18,1
2022-01-06,Chennai,O-,5,0,3,1,1.06,1
2022-01-06,Chennai,A+,4,0,3,1,1.47,0
2022-01-06,Chennai,A-,6,0,3,1,1.01,2
2022-01-06,Chennai,B+,6,0,3,1,1.39,0
2022-01-06,Chennai,B-,5,0,3,1,0.91,0
2022-01-06,Chennai,AB+,2,0,3,1,1.05,0
2022-01-06,Chennai,AB-,7,0,3,1,1.35,2
2022-01-06,Madurai,O+,6,0,3,1,1.41,1
2022-01-06,Madurai,O-,4,0,3,1,0.82,2
2022-01-06,Madurai,A+,8,0,3,1,1.22,1
2022-01-06,Madurai,A-,7,0,3,1,0.96,0
2022-01-06,Madurai,B+,6,0,3,1,1.25,0
2022-01-06,Madurai,B-,2,0,3,1,1.07,0
2022-01-06,Madurai,AB+,4,0,3,1,1.29,0
2022-01-06,Madurai,AB-,2,0,3,1,1.35,1
2022-01-06,Trichy,O+,2,0,3,1,1.16,2
2022-01-06,Trichy,O-,3,0,3,1,1.26,1
2022-01-06,Trichy,A+,4,0,3,1,1.06,1
2022-01-06,Trichy,A-,3,0,3,1,1.09,2
2022-01-06,Trichy,B+,6,0,3,1,1.38,0
2022-01-06,Trichy,B-,8,0,3,1,1.14,1
2022-01-06,Trichy,AB+,6,0,3,1,1.42,0
2022-01-06,Trichy,AB-,4,0,3,1,1.0,1
2022-01-06,Salem,O+,4,0,3,1,1.43,0
2022-01-06,Salem,O-,3,0,3,1,1.32,0
2022-01-06,Salem,A+,2,0,3,1,1.32,0
2022-01-06,Salem,A-,1,0,3,1,0.81,0
2022-01-06,Salem,B+,9,0,3,1,1.38,1
2022-01-06,Salem,B-,1,0,3,1,1.48,2
2022-01-06,Salem,AB+,4,0,3,1,0.98,1
2022-01-06,Salem,AB-,5,0,3,1,1.13,1
2022-01-07,Coimbatore,O+,6,0,4,1,1.45,2
2022-01-07,Coimbatore,O-,4,0,4,1,0.99,0
2022-01-07,Coimbatore,A+,2,0,4,1,1.49,1
2022-01-07,Coimbatore,A-,11,0,4,1,1.18,2
2022-01-07,Coimbatore,B+,5,0,4,1,1.48,2
2022-01-07,Coimbatore,B-,8,0,4,1,1.41,2
2022-01-07,Coimbatore,AB+,7,0,4,1,0.94,1
2022-01-07,Coimbatore,AB-,8,0,4,1,1.39,1
2022-01-07,Chennai,O+,2,0,4,1,1.47,0
2022-01-07,Chennai,O-,6,0,4,1,1.25,1
2022-01-07,Chennai,A+,5,0,4,1,1.23,0
2022-01-07,Chennai,A-,5,0,4,1,0.96,1
2022-01-07,Chennai,B+,3,0,4,1,1.03,2
2022-01-07,Chennai,B-,1,0,4,1,1.03,1
2022-01-07,Chennai,AB+,5,0,4,1,1.31,0
2022-01-07,Chennai,AB-,6,0,4,1,1.09,2
2022-01-07,Madurai,O+,5,0,4,1,0.93,0
2022-01-07,Madurai,O-,8,0,4,1,1.4,1
2022-01-07,Madurai,A+,6,0,4,1,0.86,2
2022-01-07,Madurai,A-,3,0,4,1,0.84,1
2022-01-07,Madurai,B+,5,0,4,1,0.84,1
2022-01-07,Madurai,B-,2,0,4,1,1.35,1
2022-01-07,Madurai,AB+,4,0,4,1,1.14,2
2022-01-07,Madurai,AB-,3,0,4,1,1.09,2
2022-01-07,Trichy,O+,4,0,4,1,1.42,0
2022-01-07,Trichy,O-,2,0,4,1,1.31,1
2022-01-07,Trichy,A+,4,0,4,1,1.02,0
2022-01-07,Trichy,A-,3,0,4,1,0.96,1
2022-01-07,Trichy,B+,5,0,4,1,1.18,2
2022-01-07,Trichy,B-,5,0,4,1,1.46,0
2022-01-07,Trichy,AB+,5,0,4,1,1.16,2
2022-01-07,Trichy,AB-,3,0,4,1,0.98,1
2022-01-07,Salem,O+,7,0,4,1,1.12,1
2022-01-07,Salem,O-,5,0,4,1,1.07,2
2022-01-07,Salem,A+,6,0,4,1,1.17,0
2022-01-07,Salem,A-,7,0,4,1,1.36,2
2022-01-07,Salem,B+,6,0,4,1,1.05,2
2022-01-07,Salem,B-,6,0,4,1,1.49,0
2022-01-07,Salem,AB+,6,0,4,1,0.81,0
2022-01-07,Salem,AB-,1,0,4,1,1.38,1
2022-01-08,Coimbatore,O+,9,0,5,1,1.3,0
2022-01-08,Coimbatore,O-,12,0,5,1,1.3,1
2022-01-08,Coimbatore,A+,3,0,5,1,1.04,2
2022-01-08,Coimbatore,A-,12,0,5,1,0.82,0
2022-01-08,Coimbatore,B+,7,0,5,1,1.4,0
2022-01-08,Coimbatore,B-,10,0,5,1,0.82,0
2022-01-08,Coimbatore,AB+,9,0,5,1,1.43,2
2022-01-08,Coimbatore,AB-,10,0,5,1,1.18,2
2022-01-08,Chennai,O+,5,0,5,1,1.1,1
2022-01-08,Chennai,O-,12,0,5,1,1.47,2
2022-01-08,Chennai,A+,10,0,5,1,0.85,0
2022-01-08,Chennai,A-,1,0,5,1,1.13,0
2022-01-08,Chennai,B+,7,0,5,1,0.85,1
2022-01-08,Chennai,B-,7,0,5,1,0.97,0
2022-01-08,Chennai,AB+,10,0,5,1,0.95,0
2022-01-08,Chennai,AB-,7,0,5,1,1.47,0
2022-01-08,Madurai,O+,7,0,5,1,1.04,0
2022-01-08,Madurai,O-,10,0,5,1,0.96,0
2022-01-08,Madurai,A+,10,0,5,1,1.42,1
2022-01-08,Madurai,A-,5,0,5,1,0.99,0
2022-01-08,Madurai,B+,12,0,5,1,1.4,0
2022-01-08,Madurai,B-,3,0,5,1,1.04,0
2022-01-08,Madurai,AB+,5,0,5,1,0.99,0
2022-01-08,Madurai,AB-,9,0,5,1,1.27,1
2022-01-08,Trichy,O+,7,0,5,1,1.09,0
2022-01-08,Trichy,O-,10,0,5,1,1.25,2
2022-01-08,Trichy,A+,7,0,5,1,1.27,0
2022-01-08,Trichy,A-,7,0,5,1,0.85,1
2022-01-08,Trichy,B+,14,0,5,1,0.88,2
2022-01-08,Trichy,B-,7,0,5,1,1.17,1
2022-01-08,Trichy,AB+,1,0,5,1,1.01,0
2022-01-08,Trichy,AB-,7,0,5,1,1.13,0
2022-01-08,Salem,O+,7,0,5,1,1.18,1
2022-01-08,Salem,O-,16,0,5,1,1.22,0
2022-01-08,Salem,A+,7,0,5,1,1.33,2
2022-01-08,Salem,A-,1,0,5,1,1.25,2
2022-01-08,Salem,B+,5,0,5,1,1.27,0
2022-01-08,Salem,B-,9,0,5,1,1.48,1
2022-01-08,Salem,AB+,5,0,5,1,0.83,1
2022-01-08,Salem,AB-,9,0,5,1,0.89,1
2022-01-09,Coimbatore,O+,12,0,6,1,1.47,0
2022-01-09,Coimbatore,O-,7,0,6,1,1.18,1
2022-01-09,Coimbatore,A+,10,0,6,1,1.27,0
2022-01-09,Coimbatore,A-,9,0,6,1,1.24,2
2022-01-09,Coimbatore,B+,10,0,6,1,1.31,0
2022-01-09,Coimbatore,B-,14,0,6,1,1.35,0
2022-01-09,Coimbatore,AB+,12,0,6,1,1.4,2
2022-01-09,Coimbatore,AB-,12,0,6,1,1.31,0
2022-01-09,Chennai,O+,12,0,6,1,1.4,0
2022-01-09,Chennai,O-,7,0,6,1,0.82,2
2022-01-09,Chennai,A+,5,0,6,1,1.28,2
2022-01-09,Chennai,A-,18,0,6,1,1.5,2
2022-01-09,Chennai,B+,0,0,6,1,0.83,0
2022-01-09,Chennai,B-,3,0,6,1,1.46,0
2022-01-09,Chennai,AB+,9,0,6,1,1.09,1
2022-01-09,Chennai,AB-,3,0,6,1,1.24,0
2022-01-09,Madurai,O+,9,0,6,1,1.15,1
2022-01-09,Madurai,O-,9,0,6,1,1.4,2
2022-01-09,Madurai,A+,12,0,6,1,1.49,0
2022-01-09,Madurai,A-,10,0,6,1,1.38,1
2022-01-09,Madurai,B+,9,0,6,1,1.19,2
2022-01-09,Madurai,B-,7,0,6,1,1.42,1
2022-01-09,Madurai,AB+,7,0,6,1,1.35,1
2022-01-09,Madurai,AB-,7,0,6,1,0.97,0
2022-01-09,Trichy,O+,7,0,6,1,1.41,1
2022-01-09,Trichy,O-,12,0,6,1,1.07,2
2022-01-09,Trichy,A+,9,0,6,1,0.99,2
2022-01-09,Trichy,A-,10,0,6,1,1.05,2
2022-01-09,Trichy,B+,9,0,6,1,0.84,0
2022-01-09,Trichy,B-,12,0,6,1,1.36,2
2022-01-09,Trichy,AB+,9,0,6,1,1.25,0
2022-01-09,Trichy,AB-,7,0,6,1,1.27,0
2022-01-09,Salem,O+,7,0,6,1,1.07,1
2022-01-09,Salem,O-,1,0,6,1,1.09,0
2022-01-09,Salem,A+,10,0,6,1,1.08,0
2022-01-09,Salem,A-,10,0,6,1,1.34,1
2022-01-09,Salem,B+,7,0,6,1,1.32,2
2022-01-09,Salem,B-,3,0,6,1,1.01,0
2022-01-09,Salem,AB+,10,0,6,1,1.08,2
2022-01-09,Salem,AB-,10,0,6,1,1.49,2
2022-01-10,Coimbatore,O+,6,0,0,1,0.94,1
2022-01-10,Coimbatore,O-,7,0,0,1,1.25,0
2022-01-10,Coimbatore,A+,6,0,0,1,0.9,0
2022-01-10,Coimbatore,A-,2,0,0,1,1.09,1
2022-01-10,Coimbatore,B+,4,0,0,1,0.99,1
2022-01-10,Coimbatore,B-,8,0,0,1,0.9,2
2022-01-10,Coimbatore,AB+,10,0,0,1,1.11,2
2022-01-10,Coimbatore,AB-,2,0,0,1,0.81,2
2022-01-10,Chennai,O+,9,0,0,1,0.96,2
2022-01-10,Chennai,O-,5,0,0,1,0.81,0
2022-01-10,Chennai,A+,4,0,0,1,0.92,2
2022-01-10,Chennai,A-,3,0,0,1,1.14,0
2022-01-10,Chennai,B+,0,0,0,1,1.43,1
2022-01-10,Chennai,B-,5,0,0,1,1.07,0
2022-01-10,Chennai,AB+,1,0,0,1,1.11,1
2022-01-10,Chennai,AB-,6,0,0,1,0.93,0
2022-01-10,Madurai,O+,4,0,0,1,1.47,1
2022-01-10,Madurai,O-,8,0,0,1,1.05,2
2022-01-10,Madurai,A+,8,0,0,1,1.01,2
2022-01-10,Madurai,A-,3,0,0,1,1.42,0
2022-01-10,Madurai,B+,7,0,0,1,1.41,2
2022-01-10,Madurai,B-,3,0,0,1,1.18,0
2022-01-10,Madurai,AB+,0,0,0,1,1.09,1
2022-01-10,Madurai,AB-,4,0,0,1,1.11,2
2022-01-10,Trichy,O+,2,0,0,1,1.31,2
2022-01-10,Trichy,O-,7,0,0,1,1.04,2
2022-01-10,Trichy,A+,7,0,0,1,1.3,2
2022-01-10,Trichy,A-,5,0,0,1,1.46,2
2022-01-10,Trichy,B+,5,0,0,1,1.45,1
2022-01-10,Trichy,B-,9,0,0,1,1.04,1
2022-01-10,Trichy,AB+,4,0,0,1,1.1,0
2022-01-10,Trichy,AB-,5,0,0,1,1.35,2
2022-01-10,Salem,O+,3,0,0,1,0.96,2
2022-01-10,Salem,O-,6,0,0,1,0.88,1
2022-01-10,Salem,A+,4,0,0,1,1.02,2
2022-01-10,Salem,A-,4,0,0,1,1.45,1
2022-01-10,Salem,B+,3,0,0,1,0.84,0
2022-01-10,Salem,B-,2,0,0,1,1.09,1
2022-01-10,Salem,AB+,4,0,0,1,1.0,0
2022-01-10,Salem,AB-,3,0,0,1,1.46,0
2022-01-11,Coimbatore,O+,10,0,1,1,1.12,1
2022-01-11,Coimbatore,O-,4,0,1,1,1.29,0
2022-01-11,Coimbatore,A+,3,0,1,1,1.16,2
2022-01-11,Coimbatore,A-,5,0,1,1,0.85,1
2022-01-11,Coimbatore,B+,4,0,1,1,1.19,0
2022-01-11,Coimbatore,B-,2,0,1,1,1.27,0
2022-01-11,Coimbatore,AB+,4,0,1,1,0.92,2
2022-01-11,Coimbatore,AB-,5,0,1,1,1.21,1
2022-01-11,Chennai,O+,3,0,1,1,1.46,0
2022-01-11,Chennai,O-,7,0,1,1,0.81,1
2022-01-11,Chennai,A+,7,0,1,1,1.5,0
2022-01-11,Chennai,A-,6,0,1,1,1.44,2
2022-01-11,Chennai,B+,1,0,1,1,0.85,1
2022-01-11,Chennai,B-,5,0,1,1,1.47,1
2022-01-11,Chennai,AB+,7,0,1,1,1.49,2
2022-01-11,Chennai,AB-,8,0,1,1,1.35,1
2022-01-11,Madurai,O+,7,0,1,1,1.38,1
2022-01-11,Madurai,O-,6,0,1,1,0.95,0
2022-01-11,Madurai,A+,5,0,1,1,0.85,1
2022-01-11,Madurai,A-,6,0,1,1,1.45,2
2022-01-11,Madurai,B+,7,0,1,1,1.47,1
2022-01-11,Madurai,B-,5,0,1,1,1.19,2
2022-01-11,Madurai,AB+,7,0,1,1,1.01,2
2022-01-11,Madurai,AB-,4,0,1,1,0.92,0
2022-01-11,Trichy,O+,4,0,1,1,0.81,2
2022-01-11,Trichy,O-,5,0,1,1,0.95,2
2022-01-11,Trichy,A+,2,0,1,1,0.96,2
2022-01-11,Trichy,A-,9,0,1,1,1.03,0
2022-01-11,Trichy,B+,5,0,1,1,1.04,1
2022-01-11,Trichy,B-,9,0,1,1,1.09,0
2022-01-11,Trichy,AB+,3,0,1,1,1.31,0
2022-01-11,Trichy,AB-,4,0,1,1,1.17,0
2022-01-11,Salem,O+,4,0,1,1,1.07,1
2022-01-11,Salem,O-,4,0,1,1,1.18,2
2022-01-11,Salem,A+,2,0,1,1,1.06,0
2022-01-11,Salem,A-,4,0,1,1,0.85,1
2022-01-11,Salem,B+,3,0,1,1,1.31,1
2022-01-11,Salem,B-,7,0,1,1,0.87,0
2022-01-11,Salem,AB+,7,0,1,1,0.95,0
2022-01-11,Salem,AB-,4,0,1,1,0.98,2
2022-01-12,Coimbatore,O+,8,0,2,1,0.94,2
2022-01-12,Coimbatore,O-,8,0,2,1,1.11,2
2022-01-12,Coimbatore,A+,7,0,2,1,0.99,0
2022-01-12,Coimbatore,A-,8,0,2,1,0.86,0
2022-01-12,Coimbatore,B+,4,0,2,1,1.09,2
2022-01-12,Coimbatore,B-,8,0,2,1,1.27,1
2022-01-12,Coimbatore,AB+,4,0,2,1,1.5,2
2022-01-12,Coimbatore,AB-,3,0,2,1,1.13,2
2022-01-12,Chennai,O+,2,0,2,1,0.82,2
2022-01-12,Chennai,O-,2,0,2,1,0.86,0
2022-01-12,Chennai,A+,1,0,2,1,1.34,1
2022-01-12,Chennai,A-,4,0,2,1,1.46,0
2022-01-12,Chennai,B+,8,0,2,1,1.22,2
2022-01-12,Chennai,B-,10,0,2,1,1.12,1
2022-01-12,Chennai,AB+,5,0,2,1,1.25,0
2022-01-12,Chennai,AB-,5,0,2,1,1.29,1
2022-01-12,Madurai,O+,5,0,2,1,0.92,2
2022-01-12,Madurai,O-,7,0,2,1,0.99,1
2022-01-12,Madurai,A+,3,0,2,1,0.82,1
2022-01-12,Madurai,A-,5,0,2,1,1.4,2
2022-01-12,Madurai,B+,5,0,2,1,0.95,0
2022-01-12,Madurai,B-,5,0,2,1,0.85,2
2022-01-12,Madurai,AB+,7,0,2,1,1.13,1
2022-01-12,Madurai,AB-,2,0,2,1,0.9,2
2022-01-12,Trichy,O+,3,0,2,1,0.91,2
2022-01-12,Trichy,O-,3,0,2,1,0.98,0
2022-01-12,Trichy,A+,6,0,2,1,1.49,2
2022-01-12,Trichy,A-,4,0,2,1,1.13,1
2022-01-12,Trichy,B+,4,0,2,1,0.86,2
2022-01-12,Trichy,B-,5,0,2,1,1.04,1
2022-01-12,Trichy,AB+,9,0,2,1,1.14,0
2022-01-12,Trichy,AB-,7,0,2,1,1.33,1
